Date,Crude_Open,Crude_High,Crude_Low,Crude_Close,Crude_AdjClose,Crude_Volume
"May 10, 2023",73.58,73.89,71.80,72.56,72.56,"317,493"
"May 09, 2023",72.84,73.78,71.34,73.71,73.71,"317,493"
"May 08, 2023",71.35,73.69,71.04,73.16,73.16,"290,076"
"May 05, 2023",68.70,71.81,68.48,71.34,71.34,"330,585"
"May 04, 2023",68.16,69.84,63.64,68.56,68.56,"412,495"
"May 03, 2023",71.56,71.79,67.95,68.60,68.60,"490,523"
"May 02, 2023",75.76,76.11,71.42,71.66,71.66,"417,820"
"May 01, 2023",76.66,76.69,74.53,75.66,75.66,"215,017"
"Apr 28, 2023",74.91,76.92,73.93,76.78,76.78,"328,399"
"Apr 27, 2023",74.38,75.28,74.03,74.76,74.76,"345,880"
"Apr 26, 2023",77.08,77.93,74.05,74.30,74.30,"497,778"
"Apr 25, 2023",78.74,79.07,76.50,77.07,77.07,"361,646"
"Apr 24, 2023",77.97,79.18,76.72,78.76,78.76,"306,720"
"Apr 21, 2023",77.13,78.39,76.72,77.87,77.87,"291,114"
"Apr 20, 2023",78.87,78.89,76.97,77.29,77.29,"361,413"
"Apr 19, 2023",80.92,81.18,78.46,79.16,79.16,"78,310"
"Apr 18, 2023",81.00,81.48,79.87,80.86,80.86,"96,290"
"Apr 17, 2023",82.48,82.71,80.47,80.83,80.83,"217,048"
"Apr 14, 2023",82.40,83.12,81.76,82.52,82.52,"275,129"
"Apr 13, 2023",83.22,83.44,82.11,82.16,82.16,"261,230"
"Apr 12, 2023",81.44,83.53,81.28,83.26,83.26,"356,133"
"Apr 11, 2023",79.88,81.59,79.37,81.53,81.53,"309,683"
"Apr 10, 2023",80.50,81.22,79.61,79.74,79.74,"264,906"
"Apr 06, 2023",80.37,80.96,79.65,80.70,80.70,-
"Apr 05, 2023",81.01,81.24,79.72,80.61,80.61,"254,974"
"Apr 04, 2023",80.44,81.81,79.61,80.71,80.71,"343,570"
"Apr 03, 2023",80.10,81.69,79.00,80.42,80.42,"547,126"
"Mar 31, 2023",74.37,75.72,73.77,75.67,75.67,"304,361"
"Mar 30, 2023",72.98,74.63,72.61,74.37,74.37,"269,743"
"Mar 29, 2023",73.61,74.37,72.76,72.97,72.97,"312,669"
"Mar 28, 2023",72.86,73.93,72.19,73.20,73.20,"328,472"
"Mar 27, 2023",69.42,73.10,69.13,72.81,72.81,"353,598"
"Mar 24, 2023",69.51,70.38,66.82,69.26,69.26,"380,852"
"Mar 23, 2023",69.95,71.67,69.14,69.96,69.96,"335,241"
"Mar 22, 2023",69.48,71.31,68.89,70.90,70.90,"337,639"
"Mar 21, 2023",67.62,69.60,66.77,69.33,69.33,"409,495"
"Mar 20, 2023",66.62,67.70,64.12,67.64,67.64,"76,873"
"Mar 17, 2023",68.26,69.64,65.17,66.74,66.74,"152,255"
"Mar 16, 2023",68.22,69.38,65.71,68.35,68.35,"327,120"
"Mar 15, 2023",71.56,72.56,65.65,67.61,67.61,"555,164"
"Mar 14, 2023",74.70,74.90,70.78,71.33,71.33,"432,858"
"Mar 13, 2023",76.60,77.47,72.30,74.80,74.80,"457,423"
"Mar 10, 2023",75.65,77.11,74.77,76.68,76.68,"371,834"
"Mar 09, 2023",76.50,78.06,75.43,75.72,75.72,"349,960"
"Mar 08, 2023",77.32,77.73,76.11,76.66,76.66,"335,930"
"Mar 07, 2023",80.50,80.94,77.06,77.58,77.58,"398,241"
"Mar 06, 2023",79.92,80.63,78.32,80.46,80.46,"292,351"
"Mar 03, 2023",77.89,79.90,75.83,79.68,79.68,"374,201"
"Mar 02, 2023",77.74,78.59,77.23,78.16,78.16,"260,331"
"Mar 01, 2023",76.85,77.85,76.12,77.69,77.69,"342,121"
"Feb 28, 2023",75.76,77.83,75.55,77.05,77.05,"300,093"
"Feb 27, 2023",76.42,76.82,74.99,75.68,75.68,"266,091"
"Feb 24, 2023",75.60,76.63,74.09,76.32,76.32,"329,254"
"Feb 23, 2023",73.92,75.99,73.83,75.39,75.39,"333,838"
"Feb 22, 2023",76.11,76.55,73.80,73.95,73.95,"332,018"
"Feb 21, 2023",76.53,77.51,75.69,76.16,76.16,"402,351"
"Feb 17, 2023",78.07,78.25,75.06,76.34,76.34,"93,267"
"Feb 16, 2023",78.54,79.54,77.92,78.49,78.49,"117,600"
"Feb 15, 2023",78.83,79.15,77.25,78.59,78.59,"264,486"
"Feb 14, 2023",79.06,79.61,77.46,79.06,79.06,"299,938"
"Feb 13, 2023",79.94,80.62,78.45,80.14,80.14,"301,299"
"Feb 10, 2023",77.68,80.33,77.47,79.72,79.72,"356,062"
"Feb 09, 2023",78.45,78.84,76.52,78.06,78.06,"324,156"
"Feb 08, 2023",77.49,78.57,77.08,78.47,78.47,"353,468"
"Feb 07, 2023",74.57,77.60,74.35,77.14,77.14,"408,279"
"Feb 06, 2023",73.23,74.51,72.25,74.11,74.11,"380,028"
"Feb 03, 2023",75.92,78.00,73.10,73.39,73.39,"413,414"
"Feb 02, 2023",76.79,77.24,74.97,75.88,75.88,"339,755"
"Feb 01, 2023",79.06,79.73,76.05,76.41,76.41,"360,859"
"Jan 31, 2023",77.91,79.25,76.55,78.87,78.87,"312,734"
"Jan 30, 2023",80.04,80.49,77.66,77.90,77.90,"327,426"
"Jan 27, 2023",81.22,82.48,79.04,79.68,79.68,"367,588"
"Jan 26, 2023",80.48,82.14,79.92,81.01,81.01,"291,060"
"Jan 25, 2023",80.26,81.23,79.45,80.15,80.15,"297,234"
"Jan 24, 2023",81.62,82.22,79.66,80.13,80.13,"288,207"
"Jan 23, 2023",81.79,82.64,81.05,81.62,81.62,"297,076"
"Jan 20, 2023",80.60,81.64,79.69,81.31,81.31,"300,145"
"Jan 19, 2023",79.14,81.18,78.13,80.33,80.33,"58,863"
"Jan 18, 2023",80.97,82.38,78.94,79.48,79.48,"92,549"
"Jan 17, 2023",80.10,81.23,78.53,80.18,80.18,"312,275"
"Jan 16, 2023",80.10,80.22,78.53,78.85,78.85,"283,539"
"Jan 13, 2023",78.32,80.11,77.97,79.86,79.86,"283,539"
"Jan 12, 2023",77.70,79.16,77.10,78.39,78.39,"307,705"
"Jan 11, 2023",74.78,77.84,74.31,77.41,77.41,"350,891"
"Jan 10, 2023",74.86,75.92,73.84,75.12,75.12,"307,430"
"Jan 09, 2023",73.47,76.74,73.47,74.63,74.63,"329,290"
"Jan 06, 2023",73.97,75.47,73.24,73.77,73.77,"258,128"
"Jan 05, 2023",73.25,74.92,72.46,73.67,73.67,"300,731"
"Jan 04, 2023",77.25,77.42,72.73,72.84,72.84,"352,434"
"Jan 03, 2023",80.57,81.50,76.60,76.93,76.93,"338,520"
"Jan 02, 2023",-,-,-,-,-,-
"Dec 30, 2022",78.73,80.67,77.71,80.26,80.26,"205,909"
"Dec 29, 2022",78.82,78.82,76.79,78.40,78.40,"199,858"
"Dec 28, 2022",79.89,79.92,77.30,78.96,78.96,"207,717"
"Dec 27, 2022",79.90,81.18,79.16,79.53,79.53,"199,601"
"Dec 26, 2022",-,-,-,-,-,-
"Dec 23, 2022",78.18,80.33,77.98,79.56,79.56,"237,711"
"Dec 22, 2022",78.43,79.90,77.03,77.49,77.49,"219,142"
"Dec 21, 2022",75.99,78.61,75.80,78.29,78.29,"234,624"
"Dec 20, 2022",75.70,76.75,74.31,76.09,76.09,"254,792"
"Dec 19, 2022",74.50,76.41,73.81,75.19,75.19,"69,348"
"Dec 16, 2022",76.37,76.57,73.33,74.29,74.29,"99,205"
"Dec 15, 2022",77.37,77.77,75.33,76.11,76.11,"224,663"
"Dec 14, 2022",75.27,77.75,74.90,77.28,77.28,"292,488"
"Dec 13, 2022",73.29,76.37,73.21,75.39,75.39,"352,858"
"Dec 12, 2022",71.79,73.99,70.25,73.17,73.17,"323,553"
"Dec 09, 2022",71.85,72.92,70.08,71.02,71.02,"356,722"
"Dec 08, 2022",72.38,75.44,71.12,71.46,71.46,"474,459"
"Dec 07, 2022",74.55,75.38,71.75,72.01,72.01,"392,236"
"Dec 06, 2022",77.35,77.88,73.41,74.25,74.25,"380,598"
"Dec 05, 2022",79.99,82.72,76.77,76.93,76.93,"346,657"
"Dec 02, 2022",81.47,82.22,79.65,79.98,79.98,"280,235"
"Dec 01, 2022",80.40,83.34,79.93,81.22,81.22,"321,432"
"Nov 30, 2022",79.00,81.38,78.40,80.55,80.55,"287,534"
"Nov 29, 2022",76.54,79.65,76.29,78.20,78.20,"381,869"
"Nov 28, 2022",75.93,77.84,73.60,77.24,77.24,"405,033"
"Nov 25, 2022",77.51,79.90,76.22,76.28,76.28,"266,451"
"Nov 23, 2022",81.08,81.95,76.83,77.94,77.94,"379,145"
"Nov 22, 2022",80.22,82.36,79.85,80.95,80.95,"269,615"
"Nov 21, 2022",80.30,80.30,75.08,79.73,79.73,"475,104"
"Nov 18, 2022",82.09,82.64,77.24,80.08,80.08,"96,583"
"Nov 17, 2022",85.22,85.45,81.40,81.64,81.64,"138,476"
"Nov 16, 2022",86.89,87.51,84.20,85.59,85.59,"225,668"
