Date,GDX_Open,GDX_High,GDX_Low,GDX_Close,GDX_AdjClose,GDX_Volume
2016-04-25,22.730000,22.889999,22.370001,22.459999,21.097292,39890900
2016-04-26,22.709999,23.010000,22.389999,22.990000,21.595140,63797900
2016-04-27,23.150000,23.309999,22.590000,23.240000,21.829971,56420300
2016-04-28,23.480000,24.400000,23.420000,24.280001,22.806871,104264300
2016-04-29,24.750000,25.830000,24.719999,25.830000,24.262829,116216000
2016-05-02,26.100000,26.170000,25.100000,25.389999,23.849524,84514200
2016-05-03,25.490000,25.530001,24.469999,24.660000,23.163815,94115500
2016-05-04,24.200001,24.650000,23.290001,23.410000,21.989655,122063000
2016-05-05,23.820000,24.320000,23.719999,24.180000,22.712936,88670100
2016-05-06,24.690001,25.440001,24.559999,25.129999,23.605297,100086900
2016-05-09,24.040001,24.180000,23.500000,23.520000,22.092981,128209000
2016-05-10,23.650000,24.510000,23.340000,24.400000,22.919590,87011000
2016-05-11,24.920000,25.340000,24.200001,25.049999,23.530151,84347400
2016-05-12,25.100000,25.400000,24.420000,24.549999,23.060490,76147200
2016-05-13,24.580000,25.000000,24.440001,24.790001,23.285929,47602900
2016-05-16,25.330000,25.610001,25.030001,25.240000,23.708622,64173700
2016-05-17,25.180000,25.850000,24.920000,25.580000,24.027996,60077800
2016-05-18,25.059999,25.420000,23.549999,23.559999,22.130554,190329800
2016-05-19,23.000000,24.090000,22.780001,23.959999,22.506285,88378000
2016-05-20,24.240000,24.270000,23.379999,24.049999,22.590824,70444800
2016-05-23,23.469999,24.240000,23.360001,23.780001,22.337208,51488900
2016-05-24,23.250000,23.469999,22.440001,22.469999,21.106688,124509700
2016-05-25,22.360001,23.190001,21.940001,23.030001,21.632711,74463300
2016-05-26,23.350000,23.559999,22.750000,22.950001,21.557564,52006900
2016-05-27,22.740000,22.959999,22.170000,22.280001,20.928215,100823000
2016-05-31,22.309999,23.049999,22.129999,22.580000,21.210014,78295000
2016-06-01,22.700001,23.090000,22.340000,22.719999,21.341520,51078900
2016-06-02,22.670000,22.969999,22.480000,22.770000,21.388487,35409200
2016-06-03,24.080000,25.360001,24.080000,25.330000,23.793165,190026800
2016-06-06,25.280001,25.540001,24.840000,25.450001,23.905884,76841900
2016-06-07,25.110001,25.440001,25.010000,25.110001,23.586515,52296400
