Date,EU_Open,EU_High,EU_Low,EU_Close,EU_Adjclose,EU_Volume
10 May 2023,1.0967,1.1008,1.0945,1.0999,1.0999,-
09 May 2023,1.0996,1.1001,1.0944,1.0996,1.0996,-
08 May 2023,1.1019,1.1053,1.1012,1.1019,1.1019,-
05 May 2023,1.1023,1.1048,1.0972,1.1023,1.1023,-
04 May 2023,1.1069,1.1091,1.0987,1.1069,1.1069,-
03 May 2023,1.1011,1.1058,1.1006,1.1011,1.1011,-
02 May 2023,1.0969,1.1005,1.0944,1.0969,1.0969,-
01 May 2023,1.1011,1.1036,1.0967,1.1011,1.1011,-
28 Apr 2023,1.1032,1.1044,1.0966,1.1032,1.1032,-
27 Apr 2023,1.1047,1.1066,1.0994,1.1047,1.1047,-
26 Apr 2023,1.0978,1.1094,1.0969,1.0978,1.0978,-
25 Apr 2023,1.1059,1.1068,1.0969,1.1059,1.1059,-
