Date,USO_Open,USO_High,USO_Low,USO_Close,USO_AdjClose,USO_Volume
"May 09, 2023",63.84,65.15,63.10,64.87,64.87,"5,826,500"
"May 08, 2023",64.75,64.89,64.05,64.26,64.26,"3,454,600"
"May 05, 2023",62.73,63.34,62.61,63.03,63.03,"4,699,400"
"May 04, 2023",60.50,61.66,59.78,60.70,60.70,"4,997,400"
"May 03, 2023",61.31,61.39,60.16,60.31,60.31,"12,166,700"
"May 02, 2023",65.48,65.50,62.99,63.05,63.05,"6,535,700"
"May 01, 2023",66.34,66.93,65.62,66.55,66.55,"2,939,000"
"Apr 28, 2023",65.85,67.60,65.53,67.50,67.50,"3,043,600"
"Apr 27, 2023",65.83,66.21,65.16,65.81,65.81,"2,752,700"
"Apr 26, 2023",67.18,67.83,65.20,65.36,65.36,"5,692,100"
"Apr 25, 2023",68.54,68.57,67.26,67.62,67.62,"2,262,600"
