Date,Gold_Open,Gold_High,Gold_Low,Gold_Close,Gold_AdjClose,Gold_Volume,SP_Open,SP_High,SP_Low,SP_Close,SP_AdjClose,SP_Volume,OF_Open,OF_High,OF_Low,OF_Close,OF_AdjClose,OF_Volume,DJ_Open,DJ_High,DJ_Low,DJ_Close,DJ_Adjclose,DJ_Volume,USDI_Price,USDI_Open,USDI_High,USDI_Low,USDI_Volume,USDI_Chg%,EU_Open,EU_High,EU_Low,EU_Close,EU_AdjClose,EU_Volume,USO_Open,USO_High,USO_Low,USO_Close,USO_AdjClose,USO_Volume,USB_Price,USB_Open,USB_High,USB_Low,USB_chg%, OS_Price, OS_Open, OS_High, OS_Low, OS_Volume, OS_Chg%,GDX_Open,GDX_High,GDX_Low,GDX_Close,GDX_AdjClose,GDX_Volume,EG_Open,EG_High,EG_Low,EG_Close,EG_AdjClose,EG_Volume,PLT_Price,PLT_Open,PLT_High,PLT_Low,PLT_Volume,PLT_Chg%,SF_Price,SF_Open,SF_High,SF_Low,SF_Volume,SF_Chg%,PLD_Price,PLD_Open,PLD_High,PLD_Low,PLD_Volume,PLD_Chg%
"Apr 24, 2023",1981.3,1989.8,1977.4,1989.1,1989.1,132.0,4132.07,4142.41,4117.77,4137.04,4137.04,3290940000.0,81.6,82.99,80.49,82.73,82.73,16684.0,33805.04,33891.15,33726.09,33875.4,33875.4,252020000.0,101.073,101.45,101.635,101.055,11950.0,-0.47,1.099227,1.103424,1.096876,1.099227,1.099227,0.0,68.290001,69.599998,68.110001,69.25,69.25,1924400.0,3.496,3.572,3.572,3.492,-2.02,78.67,77.77,79.21,76.77,0,1.14,33.549999,33.889999,33.349998,33.709999,33.709999,15115500.0,10.72,10.84,10.63,10.76,10.76,734000.0,1097.7,1142.5,1142.5,1094.9,0.0,-3.31,25.524,25.375,25.535,25.055,0.0,0.97,1534.4,1604.5,1609.0,1511.0,0.0,-4.54
"Apr 21, 2023",1996.2,1996.2,1974.1,1979.5,1979.5,132.0,4132.14,4138.02,4113.86,4133.52,4133.52,3611750000.0,80.83,82.04,80.45,81.66,81.66,17805.0,33793.6,33858.83,33688.57,33808.96,33808.96,291080000.0,101.552,101.52,101.855,101.37,10510.0,-0.01,1.097093,1.099251,1.093972,1.097093,1.097093,0.0,68.580002,68.720001,67.910004,68.209999,68.209999,2620200.0,3.568,3.534,3.579,3.501,0.92,77.98,77.17,78.42,76.78,0,1.05,33.740002,34.07,33.290001,33.610001,33.610001,23140500.0,10.76,10.86,10.6,10.68,10.68,1552200.0,1138.7,1110.0,1148.9,1102.0,0.0,2.81,25.28,25.565,25.69,25.21,19880.0,-1.23,1607.4,1596.5,1631.5,1578.0,0.0,1.18
"Apr 20, 2023",1998.0,2007.6,1998.0,2007.6,2007.6,164.0,4130.48,4148.57,4114.57,4129.79,4129.79,3772080000.0,83.0,83.04,80.77,81.1,81.1,26114.0,33740.6,33875.39,33677.74,33786.62,33786.62,307910000.0,101.566,101.695,101.845,101.35,10870.0,-0.1,1.095218,1.098901,1.093434,1.095218,1.095218,0.0,67.860001,68.339996,67.510002,67.599998,67.599998,3486800.0,3.536,3.591,3.602,3.526,-1.54,77.17,78.98,79.06,77.03,0,-2.24,34.310001,34.630001,33.970001,34.060001,34.060001,15975600.0,11.04,11.12,10.77,10.86,10.86,2155200.0,1107.6,1103.6,1112.5,1094.5,0.0,0.17,25.595,25.58,25.805,25.38,21430.0,0.02,1588.7,1611.5,1628.0,1575.5,0.0,-1.86
"Apr 19, 2023",2005.7,2006.4,1969.8,1995.2,1995.2,61.0,4139.33,4162.57,4134.49,4154.52,4154.52,3572560000.0,84.86,85.15,82.41,83.12,83.12,30732.0,33889.83,33957.98,33814.65,33897.01,33897.01,251490000.0,101.668,101.43,101.94,101.365,11480.0,0.22,1.097538,1.09866,1.091834,1.097538,1.097538,0.0,69.720001,69.980003,68.860001,69.300003,69.300003,3621100.0,3.591,3.589,3.639,3.578,0.37,78.94,81.0,81.3,78.61,0,-2.58,33.93,34.380001,33.830002,34.080002,34.080002,27055300.0,10.98,11.17,10.88,11.06,11.06,1351500.0,1105.7,1093.9,1108.5,1072.0,0.0,0.77,25.59,25.495,25.675,24.925,18980.0,0.42,1618.8,1619.5,1635.0,1577.5,0.0,-1.47
"Apr 18, 2023",1996.9,2007.4,1996.9,2007.4,2007.4,72.0,4164.26,4169.48,4140.36,4154.87,4154.87,3536640000.0,84.82,85.4,83.82,84.77,84.77,27241.0,33965.16,34018.62,33791.89,33976.63,33976.63,253570000.0,101.448,101.83,101.855,101.335,10910.0,-0.34,1.092538,1.098346,1.092275,1.092538,1.092538,0.0,70.919998,71.360001,70.089996,70.730003,70.730003,1468800.0,3.578,3.6,3.608,3.549,-0.79,81.03,80.91,81.58,79.98,0,0.17,34.41,35.189999,34.380001,34.549999,34.549999,25445800.0,11.31,11.54,11.19,11.31,11.31,1669600.0,1097.3,1062.0,1101.9,1059.7,0.0,3.56,25.484,25.35,25.645,25.255,14040.0,1.58,1642.9,1565.5,1649.0,1562.0,0.0,5.01
"Apr 17, 2023",2002.7,2007.6,1983.2,1994.2,1994.2,554.0,4137.17,4151.72,4123.18,4151.32,4151.32,3611180000.0,86.27,86.51,84.35,84.76,84.76,30271.0,33930.46,33991.23,33796.91,33987.18,33987.18,234530000.0,101.796,101.285,101.925,101.225,12810.0,0.54,1.09866,1.099904,1.091072,1.09866,1.09866,0.0,71.660004,71.849998,70.480003,70.839996,70.839996,2985700.0,3.606,3.53,3.608,3.507,2.6,80.89,82.53,82.67,80.53,0,-2.01,34.669998,34.830002,34.07,34.299999,34.299999,25510100.0,11.49,11.49,11.17,11.18,11.18,1260400.0,1059.6,1058.5,1069.9,1050.2,14000.0,0.54,25.088,25.44,25.71,24.92,64629.99999999999,-1.46,1564.53,1490.28,1573.03,1483.5,0.0,5.0
"Apr 14, 2023",2041.0,2047.8,1995.0,2002.2,2002.2,718.0,4140.11,4163.19,4113.2,4137.64,4137.64,3575690000.0,86.34,86.86,85.54,86.31,86.31,28360.0,33981.71,34082.94,33730.85,33886.47,33886.47,276720000.0,101.245,100.67,101.43,100.42,19610.0,0.54,1.105461,1.107542,1.097803,1.105461,1.105461,0.0,72.059998,72.449997,71.339996,72.089996,72.089996,3168700.0,3.515,3.447,3.537,3.422,1.91,82.65,82.2,83.05,81.73,0,0.52,35.369999,35.580002,34.380001,35.09,35.09,34129100.0,11.31,11.56,11.08,11.55,11.55,1651900.0,1054.0,1062.1,1071.1,1046.7,19960.0,-1.08,25.46,25.97,26.235,25.265,94540.0,-1.79,1504.0,1508.78,1523.0,1474.5,0.0,0.56
"Apr 13, 2023",2015.6,2048.6,2015.6,2041.3,2041.3,1043.0,4100.04,4150.26,4099.4,4146.22,4146.22,3596590000.0,87.15,87.47,86.06,86.09,86.09,26363.0,33668.97,34054.99,33605.17,34029.69,34029.69,277230000.0,100.7,101.17,101.29,100.53,15170.0,-0.47,1.099989,1.1069,1.098165,1.099989,1.099989,0.0,72.360001,72.629997,71.650002,71.800003,71.800003,2790900.0,3.449,3.389,3.46,3.372,1.44,82.22,83.03,83.37,82.06,0,-0.99,35.48,36.099998,35.43,35.869999,35.869999,28524900.0,11.36,11.58,11.24,11.52,11.52,2363200.0,1065.5,1029.1,1070.0,1023.4,0.0,3.7,25.925,25.63,26.115,25.515,75420.0,1.83,1495.6,1462.0,1524.5,1445.0,0.0,2.73
"Apr 12, 2023",2005.2,2025.7,2005.2,2010.9,2010.9,172.0,4121.72,4134.37,4086.94,4091.95,4091.95,3633120000.0,85.55,87.49,85.41,87.33,87.33,36337.0,33764.21,33895.43,33593.32,33646.5,33646.5,260300000.0,101.171,101.795,101.835,101.115,15770.0,-0.7,1.091751,1.099856,1.091524,1.091751,1.091751,0.0,71.739998,72.650002,71.610001,72.43,72.43,4474100.0,3.4,3.428,3.462,3.34,-0.93,83.04,81.42,83.47,81.23,0,2.0,35.130001,35.240002,34.459999,34.919998,34.919998,20592200.0,11.22,11.31,11.04,11.2,11.2,1602900.0,1027.5,1005.5,1034.0,1004.1,0.0,2.23,25.458,25.185,25.825,25.175,89020.0,1.08,1455.9,1443.5,1468.0,1433.5,0.0,0.85
"Apr 11, 2023",1991.4,2006.5,1991.4,2004.8,2004.8,68.0,4110.29,4124.26,4102.61,4108.94,4108.94,3665830000.0,84.28,85.68,83.75,85.61,85.61,28189.0,33586.75,33781.29,33586.75,33684.79,33684.79,241430000.0,101.884,102.17,102.19,101.695,7760.0,-0.36,1.086933,1.092669,1.086803,1.086933,1.086933,0.0,70.080002,71.209999,69.970001,71.07,71.07,3346800.0,3.432,3.419,3.456,3.381,0.49,81.41,79.78,81.53,79.33,0,2.02,34.240002,35.029999,34.240002,34.580002,34.580002,21024200.0,10.84,11.22,10.83,10.99,10.99,1798500.0,1005.1,1003.5,1018.6,1000.6,0.0,0.22,25.186,25.015,25.275,24.97,54830.0,1.1,1443.6,1413.5,1459.5,1413.5,0.0,1.57
